satellite_name,shell_id,altitude_km,inclination_deg,kept,outlier_reason
STARLINK-36816,11,266.23,97.2759,1,
STARLINK-36336,11,266.64,97.2769,1,
STARLINK-36257,11,267.1,97.2769,1,
STARLINK-36876,11,267.43,97.2773,1,
STARLINK-36361,11,267.74,97.2769,1,
STARLINK-36878,11,268.12,97.277,1,
STARLINK-36813,11,268.4,97.2764,1,
STARLINK-36810,11,268.74,97.2773,1,
STARLINK-36870,11,269.06,97.2775,1,
STARLINK-36866,11,269.49,97.2778,1,
STARLINK-36846,11,269.83,97.2779,1,
STARLINK-36877,11,270.19,97.278,1,
STARLINK-36803,11,270.6,97.2783,1,
STARLINK-36372,11,271.01,97.2784,1,
STARLINK-36363,11,271.23,97.2788,1,
STARLINK-36801,13,271.6,97.2789,1,
STARLINK-36368,13,271.91,97.2789,1,
STARLINK-36390,13,272.24,97.279,1,
STARLINK-36826,13,272.57,97.2793,1,
STARLINK-36842,13,272.8,97.2794,1,
STARLINK-36817,13,273.08,97.2793,1,
STARLINK-36856,13,273.36,97.2797,1,
STARLINK-36821,13,273.7,97.2798,1,
STARLINK-36808,13,274.01,97.2799,1,
STARLINK-36818,13,274.21,97.2802,1,
STARLINK-36865,19,305.59,42.9953,1,
STARLINK-36781,19,305.97,42.9955,1,
STARLINK-36809,19,306.38,42.9954,1,
STARLINK-36728,19,306.8,42.9955,1,
STARLINK-36771,19,307.19,42.9954,1,
STARLINK-36758,19,307.59,42.9955,1,
STARLINK-36726,19,307.98,42.9956,1,
STARLINK-36714,19,308.44,42.9957,1,
STARLINK-36406,19,308.89,42.9956,1,
STARLINK-36383,19,309.33,42.9956,1,
STARLINK-36405,19,309.7,42.9955,1,
STARLINK-36375,19,310.18,42.9954,1,
STARLINK-36341,19,310.57,42.9953,1,
STARLINK-1587,21,310.56,53.0332,1,
STARLINK-1814,21,312.6,53.0376,1,
STARLINK-1726,21,312.67,53.0385,1,
STARLINK-2022,21,314.02,53.0134,1,
STARLINK-1053,21,315.28,53.0288,1,
STARLINK-36663,22,311.02,42.9955,1,
STARLINK-36722,22,311.48,42.9953,1,
STARLINK-36721,22,311.94,42.9954,1,
STARLINK-36724,22,312.32,42.995,1,
STARLINK-36723,22,312.83,42.9953,1,
STARLINK-36690,22,313.26,42.9952,1,
STARLINK-36676,22,313.69,42.9952,1,
STARLINK-36736,22,314.18,42.9951,1,
STARLINK-36847,22,314.66,42.9952,1,
STARLINK-36822,22,315.13,42.9953,1,
STARLINK-36827,22,315.62,42.9951,1,
STARLINK-36689,30,328.49,53.1502,1,
STARLINK-36784,30,328.99,53.1504,1,
STARLINK-36743,30,329.48,53.1502,1,
STARLINK-11331 [DTC],30,330.03,53.1501,1,
STARLINK-36727,30,330.04,53.1503,1,
STARLINK-36730,30,330.46,53.1506,1,
STARLINK-36783,30,330.99,53.1504,1,
STARLINK-36786,30,331.61,53.151,1,
STARLINK-36770,30,332.37,53.151,1,
STARLINK-36769,30,333.16,53.1511,1,
STARLINK-36643,31,331.76,42.9976,1,
STARLINK-36144,31,331.91,42.9983,1,
STARLINK-36611,31,331.96,42.9984,1,
STARLINK-36657,31,331.97,42.9981,1,
STARLINK-36646,31,331.99,42.9985,1,
STARLINK-36660,31,331.99,42.9987,1,
STARLINK-36670,31,332.03,42.9984,1,
STARLINK-36289,31,332.03,42.9982,1,
STARLINK-36649,31,332.03,42.9984,1,
STARLINK-36651,31,332.05,42.9981,1,
STARLINK-36602,31,332.06,42.9984,1,
STARLINK-36661,31,332.07,42.9982,1,
STARLINK-36598,31,332.07,42.9985,1,
STARLINK-36659,31,332.1,42.9982,1,
STARLINK-35865,31,332.11,42.9983,1,
STARLINK-36658,31,332.12,42.9985,1,
STARLINK-36652,31,332.13,42.9984,1,
STARLINK-36589,31,332.15,42.9987,1,
STARLINK-36648,31,332.16,42.9981,1,
STARLINK-36654,31,332.18,42.9983,1,
STARLINK-36647,31,332.19,42.9984,1,
STARLINK-36606,31,332.21,42.9983,1,
STARLINK-36650,31,332.23,42.9981,1,
STARLINK-36655,31,332.23,42.998,1,
STARLINK-36653,31,332.3,42.9982,1,
STARLINK-36656,31,332.31,42.9982,1,
STARLINK-36762,33,334.47,53.1519,1,
STARLINK-36837,33,334.73,53.1554,1,
STARLINK-36761,33,334.85,53.152,1,
STARLINK-36276,33,334.89,53.1566,1,
STARLINK-36608,33,334.94,53.1554,1,
STARLINK-36785,33,334.94,53.1566,1,
STARLINK-36838,33,334.97,53.1555,1,
STARLINK-36843,33,334.97,53.1553,1,
STARLINK-36840,33,335.0,53.1574,1,
STARLINK-36325,33,335.03,53.1551,1,
STARLINK-36393,33,335.04,53.155,1,
STARLINK-36332,33,335.08,53.1542,1,
STARLINK-36828,33,335.08,53.1557,1,
STARLINK-36738,33,335.12,53.1534,1,
STARLINK-36835,33,335.14,53.1539,1,
STARLINK-35873,33,335.15,53.1551,1,
STARLINK-36348,33,335.16,53.1565,1,
STARLINK-36831,33,335.16,53.1536,1,
STARLINK-36780,33,335.31,53.1519,1,
STARLINK-36708,34,334.96,97.2872,1,
STARLINK-36750,34,335.03,97.2837,1,
STARLINK-36385,34,335.04,97.2873,1,
STARLINK-36687,34,335.04,97.2869,1,
STARLINK-36697,34,335.05,97.284,1,
STARLINK-36698,34,335.05,97.2869,1,
STARLINK-36702,34,335.07,97.2873,1,
