shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
0,1,149.37816064979597,149.37816064979597,149.37816064979597,0.0,149.37816064979597,53.2006,53.2006,53.2006,0.0,53.2006,0.0002942,0.0,16.4889722,0.0
1,1,203.10969783400196,203.10969783400196,203.10969783400196,0.0,203.10969783400196,53.1221,53.1221,53.1221,0.0,53.1221,8.87e-05,0.0,16.28723423,0.0
2,2,204.7379651378924,205.6743415465171,205.20615334220474,0.4681882043123551,205.20615334220474,97.5969,97.6416,97.61925,0.022349999999995873,97.61925,0.0008762,0.00020850000000000003,16.279446595,0.0017385049999987245
3,1,212.54141692836856,212.54141692836856,212.54141692836856,0.0,212.54141692836856,53.0181,53.0181,53.0181,0.0,53.0181,0.0008817,0.0,16.25224662,0.0
4,1,220.19573733355992,220.19573733355992,220.19573733355992,0.0,220.19573733355992,53.0268,53.0268,53.0268,0.0,53.0268,0.0012612,0.0,16.22394437,0.0
5,1,221.91995222968035,221.91995222968035,221.91995222968035,0.0,221.91995222968035,97.6035,97.6035,97.6035,0.0,97.6035,0.0008114,0.0,16.21758033,0.0
6,1,224.1482423551106,224.1482423551106,224.1482423551106,0.0,224.1482423551106,97.6312,97.6312,97.6312,0.0,97.6312,0.0005535,0.0,16.20936192,0.0
7,1,241.05507716169632,241.05507716169632,241.05507716169632,0.0,241.05507716169632,97.6232,97.6232,97.6232,0.0,97.6232,0.0004265,0.0,16.14723137,0.0
8,1,242.51276076570957,242.51276076570957,242.51276076570957,0.0,242.51276076570957,53.0296,53.0296,53.0296,0.0,53.0296,0.0011078,0.0,16.14189315,0.0
9,1,251.11570669730918,251.11570669730918,251.11570669730918,0.0,251.11570669730918,53.0307,53.0307,53.0307,0.0,53.0307,0.000324,0.0,16.1104479,0.0
10,1,259.3510300730986,259.3510300730986,259.3510300730986,0.0,259.3510300730986,53.0344,53.0344,53.0344,0.0,53.0344,0.000948,0.0,16.0804419,0.0
11,1,262.3651062955896,262.3651062955896,262.3651062955896,0.0,262.3651062955896,53.0336,53.0336,53.0336,0.0,53.0336,0.0002954,0.0,16.06948317,0.0
