shell_id,count,altitude_min_km,altitude_max_km,altitude_mean_km,altitude_std_km,altitude_median_km,inclination_min_deg,inclination_max_deg,inclination_mean_deg,inclination_std_deg,inclination_median_deg,eccentricity_mean,eccentricity_std,mean_motion_mean_rev_per_day,mean_motion_std_rev_per_day
0,1,196.17642491648894,196.17642491648894,196.17642491648894,0.0,196.17642491648894,97.5986,97.5986,97.5986,0.0,97.5986,0.0010461,0.0,16.31303382,0.0
1,1,201.8103360925188,201.8103360925188,201.8103360925188,0.0,201.8103360925188,97.6277,97.6277,97.6277,0.0,97.6277,0.0007104,0.0,16.29206414,0.0
2,1,208.91023391702765,208.91023391702765,208.91023391702765,0.0,208.91023391702765,53.0236,53.0236,53.0236,0.0,53.0236,0.000977,0.0,16.2657019,0.0
3,1,227.37443665935916,227.37443665935916,227.37443665935916,0.0,227.37443665935916,97.6219,97.6219,97.6219,0.0,97.6219,0.0004825,0.0,16.19747532,0.0
4,1,233.56042461242487,233.56042461242487,233.56042461242487,0.0,233.56042461242487,53.0299,53.0299,53.0299,0.0,53.0299,0.0002958,0.0,16.17472424,0.0
5,1,236.51734885456244,236.51734885456244,236.51734885456244,0.0,236.51734885456244,53.1387,53.1387,53.1387,0.0,53.1387,0.0006285,0.0,16.16386795,0.0
6,1,244.235719819505,244.235719819505,244.235719819505,0.0,244.235719819505,53.0315,53.0315,53.0315,0.0,53.0315,0.00078,0.0,16.13558725,0.0
7,1,253.0899805865447,253.0899805865447,253.0899805865447,0.0,253.0899805865447,53.033,53.033,53.033,0.0,53.033,0.0003366,0.0,16.10324599,0.0
8,1,264.82530742449035,264.82530742449035,264.82530742449035,0.0,264.82530742449035,53.0303,53.0303,53.0303,0.0,53.0303,0.0006849,0.0,16.06054747,0.0
9,1,265.71606499532845,265.71606499532845,265.71606499532845,0.0,265.71606499532845,53.0355,53.0355,53.0355,0.0,53.0355,0.0008235,0.0,16.05731419,0.0
10,1,267.44416769853797,267.44416769853797,267.44416769853797,0.0,267.44416769853797,53.1944,53.1944,53.1944,0.0,53.1944,0.0008608,0.0,16.0510446,0.0
11,1,268.7271841711745,268.7271841711745,268.7271841711745,0.0,268.7271841711745,42.9787,42.9787,42.9787,0.0,42.9787,0.0024227,0.0,16.04639243,0.0
12,1,269.42695058992103,269.42695058992103,269.42695058992103,0.0,269.42695058992103,53.1311,53.1311,53.1311,0.0,53.1311,0.0015564,0.0,16.04385605,0.0
13,1,269.5688145517279,269.5688145517279,269.5688145517279,0.0,269.5688145517279,53.018,53.018,53.018,0.0,53.018,0.0007634,0.0,16.04334193,0.0
14,1,269.6246714955205,269.6246714955205,269.6246714955205,0.0,269.6246714955205,42.9861,42.9861,42.9861,0.0,42.9861,0.0015674,0.0,16.04313951,0.0
15,1,269.6474345993802,269.6474345993802,269.6474345993802,0.0,269.6474345993802,53.0377,53.0377,53.0377,0.0,53.0377,0.0012872,0.0,16.04305702,0.0
16,1,270.4759246577596,270.4759246577596,270.4759246577596,0.0,270.4759246577596,53.0319,53.0319,53.0319,0.0,53.0319,0.0006248,0.0,16.04005518,0.0
17,1,271.1032847971328,271.1032847971328,271.1032847971328,0.0,271.1032847971328,53.2136,53.2136,53.2136,0.0,53.2136,0.0002504,0.0,16.03778271,0.0
18,1,274.8579152002758,274.8579152002758,274.8579152002758,0.0,274.8579152002758,97.2826,97.2826,97.2826,0.0,97.2826,2.83e-05,0.0,16.02419362,0.0
19,1,276.13260306770553,276.13260306770553,276.13260306770553,0.0,276.13260306770553,97.6345,97.6345,97.6345,0.0,97.6345,0.0004905,0.0,16.01958452,0.0
20,1,278.2403489542494,278.2403489542494,278.2403489542494,0.0,278.2403489542494,97.2814,97.2814,97.2814,0.0,97.2814,0.0001616,0.0,16.01196804,0.0
21,1,278.60522748046697,278.60522748046697,278.60522748046697,0.0,278.60522748046697,97.2811,97.2811,97.2811,0.0,97.2811,0.00016,0.0,16.01065014,0.0
22,1,278.91951331570453,278.91951331570453,278.91951331570453,0.0,278.91951331570453,97.2811,97.2811,97.2811,0.0,97.2811,0.0001494,0.0,16.00951512,0.0
23,2,279.3300497726923,279.3651904409553,279.3476201068238,0.01757033413150566,279.3476201068238,97.2812,97.2815,97.28135,0.00014999999999787406,97.28135,0.0001848,2.4299999999999994e-05,16.007969260000003,6.343999999991468e-05
24,1,279.69559856998694,279.69559856998694,279.69559856998694,0.0,279.69559856998694,97.281,97.281,97.281,0.0,97.281,0.0001536,0.0,16.00671292,0.0
25,1,279.7469430627152,279.7469430627152,279.7469430627152,0.0,279.7469430627152,53.2162,53.2162,53.2162,0.0,53.2162,0.0001496,0.0,16.00652756,0.0
26,1,280.2904615687439,280.2904615687439,280.2904615687439,0.0,280.2904615687439,42.9864,42.9864,42.9864,0.0,42.9864,0.0014721,0.0,16.00456561,0.0
27,1,280.46793701800834,280.46793701800834,280.46793701800834,0.0,280.46793701800834,97.2813,97.2813,97.2813,0.0,97.2813,0.0001626,0.0,16.00392506,0.0
28,1,280.8484678805589,280.8484678805589,280.8484678805589,0.0,280.8484678805589,97.2815,97.2815,97.2815,0.0,97.2815,0.0001611,0.0,16.00255178,0.0
29,1,281.18955876539167,281.18955876539167,281.18955876539167,0.0,281.18955876539167,97.2814,97.2814,97.2814,0.0,97.2814,0.0001588,0.0,16.001321,0.0
30,1,281.5368330833153,281.5368330833153,281.5368330833153,0.0,281.5368330833153,97.2814,97.2814,97.2814,0.0,97.2814,0.0001496,0.0,16.00006807,0.0
31,1,281.93529273727836,281.93529273727836,281.93529273727836,0.0,281.93529273727836,97.282,97.282,97.282,0.0,97.282,0.0001617,0.0,15.99863067,0.0
32,1,282.2773686271139,282.2773686271139,282.2773686271139,0.0,282.2773686271139,97.2823,97.2823,97.2823,0.0,97.2823,0.0001597,0.0,15.99739684,0.0
