shell_id,satellite_name,satellite_id,altitude_km,inclination_deg,eccentricity,mean_motion
0,STARLINK-1318,1318,157.39,53.0199,0.000217,16.45864176
1,STARLINK-1651,1651,193.58,53.0219,0.000788,16.32271706
2,STARLINK-1294,1294,203.61,53.0203,0.000242,16.28537271
3,STARLINK-1750,1750,210.24,53.0270,0.000576,16.26078723
3,STARLINK-1710,1710,211.44,53.0227,0.000750,16.25633126
4,STARLINK-30209,30209,210.93,42.9575,0.002313,16.25821908
5,STARLINK-1210,1210,215.93,53.0019,0.000617,16.23971856
6,STARLINK-34128,34128,222.18,42.9923,0.000596,16.21663642
6,STARLINK-6284,6284,222.91,42.9912,0.000583,16.21392264
7,STARLINK-1848,1848,227.48,53.0272,0.000636,16.19709794
7,STARLINK-1601,1601,229.34,53.0321,0.000605,16.19022270
8,STARLINK-1687,1687,244.84,53.0314,0.001093,16.13337824
8,STARLINK-1723,1723,249.06,53.0378,0.000546,16.11796283
9,STARLINK-6151,6151,250.85,42.9706,0.001766,16.11141315
10,STARLINK-3269,3269,252.01,53.2008,0.001096,16.10719979
11,STARLINK-36816,36816,266.23,97.2759,0.000090,16.05543164
11,STARLINK-36336,36336,266.64,97.2769,0.000088,16.05394958
11,STARLINK-36257,36257,267.10,97.2769,0.000089,16.05230269
11,STARLINK-36876,36876,267.43,97.2773,0.000094,16.05109754
11,STARLINK-36361,36361,267.74,97.2769,0.000092,16.04998673
11,STARLINK-36878,36878,268.12,97.2770,0.000099,16.04860919
11,STARLINK-36813,36813,268.40,97.2764,0.000092,16.04758178
11,STARLINK-36810,36810,268.74,97.2773,0.000095,16.04635486
11,STARLINK-36870,36870,269.06,97.2775,0.000089,16.04518824
11,STARLINK-36866,36866,269.49,97.2778,0.000090,16.04363612
11,STARLINK-36846,36846,269.83,97.2779,0.000106,16.04240444
11,STARLINK-36877,36877,270.19,97.2780,0.000100,16.04109489
11,STARLINK-36803,36803,270.60,97.2783,0.000102,16.03958912
11,STARLINK-36372,36372,271.01,97.2784,0.000099,16.03813591
11,STARLINK-36363,36363,271.23,97.2788,0.000105,16.03732550
12,STARLINK-1112,1112,270.32,53.0349,0.000341,16.04063234
13,STARLINK-36801,36801,271.60,97.2789,0.000100,16.03597417
13,STARLINK-36368,36368,271.91,97.2789,0.000112,16.03485467
13,STARLINK-36390,36390,272.24,97.2790,0.000100,16.03366022
13,STARLINK-36826,36826,272.57,97.2793,0.000100,16.03246199
13,STARLINK-36842,36842,272.80,97.2794,0.000101,16.03165371
13,STARLINK-36817,36817,273.08,97.2793,0.000102,16.03061315
13,STARLINK-36856,36856,273.36,97.2797,0.000109,16.02961234
13,STARLINK-36821,36821,273.70,97.2798,0.000102,16.02839911
13,STARLINK-36808,36808,274.01,97.2799,0.000107,16.02725117
13,STARLINK-36818,36818,274.21,97.2802,0.000118,16.02655408
14,STARLINK-30232,30232,280.79,42.9713,0.002606,16.00274761
14,STARLINK-36618,36618,281.30,42.9876,0.000235,16.00091586
14,STARLINK-30210,30210,281.78,42.9635,0.002664,15.99918871
15,STARLINK-1738,1738,286.99,53.0298,0.000562,15.98039824
15,STARLINK-1484,1484,291.18,52.9999,0.000703,15.96533510
16,STARLINK-3767,3767,297.34,53.2117,0.000075,15.94320958
17,STARLINK-1712,1712,298.94,53.0320,0.000683,15.93748313
18,STARLINK-1298,1298,304.46,53.0364,0.000768,15.91773793
18,STARLINK-1955,1955,307.20,53.0363,0.000340,15.90793448
18,STARLINK-1398,1398,308.94,53.0388,0.000416,15.90170342
18,STARLINK-31145,31145,309.20,53.1229,0.001385,15.90079357
19,STARLINK-36865,36865,305.59,42.9953,0.000190,15.91367038
19,STARLINK-36781,36781,305.97,42.9955,0.000182,15.91232844
19,STARLINK-36809,36809,306.38,42.9954,0.000185,15.91084888
19,STARLINK-36728,36728,306.80,42.9955,0.000187,15.90935244
19,STARLINK-36771,36771,307.19,42.9954,0.000187,15.90796734
19,STARLINK-30995,30995,307.21,42.9796,0.002635,15.90790123
19,STARLINK-36758,36758,307.59,42.9955,0.000184,15.90654180
19,STARLINK-36726,36726,307.98,42.9956,0.000182,15.90513309
19,STARLINK-36714,36714,308.44,42.9957,0.000178,15.90350581
19,STARLINK-36406,36406,308.89,42.9956,0.000178,15.90190088
19,STARLINK-36383,36383,309.33,42.9956,0.000188,15.90032071
19,STARLINK-36405,36405,309.70,42.9955,0.000175,15.89899086
19,STARLINK-36375,36375,310.18,42.9954,0.000179,15.89727519
19,STARLINK-36341,36341,310.57,42.9953,0.000182,15.89587970
20,STARLINK-4038,4038,309.35,53.2061,0.000737,15.90024588
20,STARLINK-30559,30559,310.27,53.1375,0.001463,15.89696247
21,STARLINK-1587,1587,310.56,53.0332,0.000328,15.89594068
21,STARLINK-1814,1814,312.60,53.0376,0.000547,15.88866863
21,STARLINK-1726,1726,312.67,53.0385,0.000787,15.88839519
21,STARLINK-2022,2022,314.02,53.0134,0.000375,15.88357720
21,STARLINK-1053,1053,315.28,53.0288,0.000704,15.87911486
22,STARLINK-30504,30504,310.80,42.9778,0.002639,15.89509045
22,STARLINK-36663,36663,311.02,42.9955,0.000173,15.89427891
22,STARLINK-36722,36722,311.48,42.9953,0.000182,15.89265400
