orbit_index,satellite_count,mean_raan_deg
1,149,1.472030998759948
2,158,27.50418849036884
3,17,41.33681442954349
4,64,49.380262567758294
5,3,56.05000016381199
6,14,59.474171566397445
7,4,62.88347513845474
8,44,66.57414555238505
9,14,70.029063402708
10,26,73.84744639685957
11,21,77.39580004258997
12,43,81.02416413836742
13,19,84.61546859650466
14,17,89.1918088640021
15,33,95.21821854125929
16,49,98.8252361626
17,18,102.48130580243432
18,5,106.2596600727946
19,17,109.75558869709184
20,6,113.39998399128552
21,5,116.8045599189454
22,33,120.4167778495881
23,57,131.45309752454062
24,4,145.7819958014543
25,76,156.5460273025939
26,52,170.43665278112223
27,69,185.3192148234575
28,1,194.43
29,91,203.92815627451446
30,151,221.87850406863282
31,2,237.19189999999998
32,213,262.24579193408044
33,13,286.12494022192743
34,25,292.0649072122094
35,1,296.1213
36,18,299.43750123044055
37,41,302.9852878418402
38,14,306.6989077594648
39,11,310.3239278134938
40,32,313.56522444380255
41,48,317.2333083480129
42,48,320.8988354575956
43,15,324.3775006694432
44,7,328.2833710401933
45,24,331.71306275747395
46,8,335.2846259998775
47,30,338.8105857805005
48,2,342.59815
49,1,346.3361
