orbit_index,satellite_count,mean_raan_deg
1,156,1.410303535528627
2,191,26.74525013922782
3,131,50.091718901327404
4,4,62.88347513845474
5,44,66.57414555238505
6,27,69.92678406879853
7,26,73.84744639685957
8,21,77.39580004258997
9,84,82.51711451638056
10,17,89.1918088640021
11,46,95.17085047224904
12,49,98.8252361626
13,18,102.48130580243432
14,16,106.14056956107407
15,37,109.4308413839853
16,6,113.39998399128552
17,5,116.8045599189454
18,49,120.344025593432
19,76,132.12551331276657
20,26,145.9686468634466
21,92,157.18288004912128
22,59,170.75757789891338
23,94,185.3799628425506
24,1,194.43
25,113,204.94480424244168
26,155,222.01486044530677
27,31,236.60957049524623
28,272,263.86552695893715
29,13,286.12494022192743
30,25,292.0649072122094
31,1,296.1213
32,68,301.8903106974352
33,14,306.6989077594648
34,11,310.3239278134938
35,38,313.5803204555963
36,48,317.2333083480129
37,49,320.8770152349725
38,16,324.39786948106234
39,31,327.6375502059683
40,24,331.71306275747395
41,8,335.2846259998775
42,30,338.8105857805005
43,2,342.59815
44,1,346.3361
