 地面站位置,经度 (°),纬度 (°),频段,Ka天线尺寸 (m),Ka天线数量,Ka上行频率 (GHz),Ka下行频率 (GHz),Ka最小仰角 (°),Ka工作状态,E天线尺寸 (m),E天线数量,E上行频率 (GHz),E下行频率 (GHz),E最小仰角 (°),E工作状态,地面站创建时间,备案信息
"Accra, Ghana",-0.090984,5.80399,Ku + E,1.85,8,2.1,1.3,25,1,1.85,8,5,5,25,1,2024-07-13,--,
"Adelanto, California",-117.455,34.6024,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204342&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Aerzen, Delaware",9.32823,52.061,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Aflenz, OS",15.2922,47.5532,Ka,1.85,40,1.3,2.1,25,1,--,--,--,--,--,1,2025-06-09,--,
"Akita, Japan",140.065,39.6383,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-08-05,https://www.tele.soumu.go.jp/musen/SearchServlet?pageID=4&IT=A&DFCD=0004402840&DD=1&styleNumber=21,
"Anakie, Victoria, Australia",144.328,-37.9532,Ka,1.47,11,2.5,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10026536,
"Anchorage, Alaska",-149.877,61.1859,Ka,1.85,8,2.1,1.3,25,1,--,--,--,--,--,--,2022-08-22,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2022082200894&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Anchorage, Alaska",-149.876,61.1857,Ka+E,--,12,2.1,1.3,25,--,1.85,12,5,5,25,--,2025-04-07,https://fccprod.servicenowservices.com/icfs?id=ibfs_callsign_summary&number=E250020,
"Angeles, Pampanga, Philippines",120.506,15.1709,Ka,1.85,8,2.5,1.25,25,1,--,--,--,--,--,--,--,--,
"Aquierpa, Peru",-71.5134,-16.4702,Ka+E,1.85,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2025-03-18,--,
"Aracaju, Brazil",-37.1467,-11.0812,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,9/9/2023,--,
"Arlington, Oregon",-120.175,45.6255,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204343&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Ashburn, Virginia",-77.4649,39.0157,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,1,--,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr04b.hts?q_set12=E240161&column=V_SITE_ANTENNA_FREQ.callsignC%2FCallsign,
"Atlanta, Georgia",-84.4246,33.7335,Ka + E,1.85,40,2.1,1.3,25,1,1.85,40,5,5,25,1,2024-11-24,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024011900064&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Awarua, New Zealand",168.383,-46.5305,Ka,1.47,8,2.1,1.3,25,1,--,--,--,--,--,--,--,--,
"Bathurst, New South Wales, Australia",149.522,-33.4367,Ka + E,1.47,40,2.5,1.25,25,1,1.85,1,5,5,25,1,2023-11-14,https://web.acma.gov.au/rrl//site_search.site_lookup?pSITE_ID=10036594,
"Baxley, Georgia",-82.269,31.6822,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2020-06-16,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2020061600646&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Bellingham, Washington",-122.449,48.774,Ka + E,1.85,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2024-06-18,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024061901264&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Benevides, Brazil",-48.2583,-1.35933,Ka+E,1.85,--,2.1,1.3,25,1,1.85,--,5,5,25,1,2025-02-25,--,
"Benkelman, Nebraska",-101.51,40.1049,Ka + E,1.85,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-27,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204334&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Blountsville, Alabama",-86.5785,34.0984,Ka + E,--,40,2.1,1.3,25,1,1.85,32,5,5,25,1,2022-12-27,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLICINTR202204335&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Boca Chica, Texas",-97.1907,25.9837,Ka + E,--,40,2.1,1.3,25,1,1.85,40,5,5,25,--,2024-05-28,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024053101107&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Cundinamarca (Bogota), Colorado",-74.1448,4.74249,Ka,1.47,9,2.1,1.3,25,1,--,--,--,--,--,--,2022-05-21,--,
"Boorowa, New South Wales, Australia",148.706,-34.4621,Ka,1.47,8,2.1,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10021789,
"Brewster, Washington",-119.701,48.1486,TTC,5,2,--,--,5,--,--,--,--,--,--,--,--,--,
"Broadview, Illinois",-87.8589,41.855,Ka + E,1.85,32,2.1,1.3,25,1,1.85,32,5,5,25,1,2024-01-30,https://licensing.fcc.gov/cgi-bin/ws.exe/prod/ib/forms/reports/swr031b.hts?q_set=V_SITE_ANTENNA_FREQ.file_numberC/File+Number/%3D/SESLIC2024012800166&prepare=&column=V_SITE_ANTENNA_FREQ.file_numberC/File+Number,
"Broken Hill, New South Wales, Australia",141.441,-31.9983,Ka,1.47,8,2.1,1.25,25,1,--,--,--,--,--,--,--,https://web.acma.gov.au/rrl/site_search.site_lookup?pSITE_ID=10021787,
