pop,latitude,longitude
acklnzl1,-36.852095,174.7631803
ashnvax2,39.030019100000004,-77.46964646557657
atlagax1,33.7489924,-84.3902644
bgtacol1,4.6533816,-74.0836333
bnssarg1,-34.603722,-58.381592
brsabra1,-15.79,-47.88
brseaus1,-27.4654,153.0274
chcoilx1,41.8755616,-87.6244212
chrhnzl1,-43.529,172.5963
clgycan1,51.0447,-114.0719
dhkabgd1,23.81,90.41
dllstxx1,32.7762719,-96.7968559
dnvrcox1,39.7392364,-104.984862
dohaqat1,25.2856329,51.5264162
frntdeu1,50.1106444,8.6820917
frtabra1,-3.7304512,-38.5217989
gtmygtm1,14.6537,-90.5492
jhngzaf1,-26.138,28.1975
jtnaidn2,-6.2088,106.8456
knsymox1,39.1,-94.58
lgosnga1,6.4550575,3.3941795
limaper1,-12.0621065,-77.0365256
lndngbr1,51.4893335,-0.14405508452768728
lsancax1,34.0536909,-118.242766
mdrdesp1,40.4167047,-3.7035825
mlbeaus1,-37.8217,144.9155
mlnnita1,45.4642,9.19
mmbiind1,19.076,72.8777
mmmiflx1,25.7741728,-80.19362
mnlaphl1,14.5906346,120.9799964
mntlcan1,45.51,-73.56
mplsmnx1,44.9772995,-93.2654692
msctomn1,23.7268,57.7942
nrbiken1,-1.3501,36.7492
nwyynyx1,40.7127281,-74.0060152
prthaus1,-31.9558933,115.8605855
qrtomex1,20.8052225,-99.8837376
sfiabgr1,42.6977028,23.3217359
sltyutx1,40.7596198,-111.886797
sngesgp1,1.357107,103.8194992
snjecax1,37.3361663,-121.890591
sntochl1,-33.448891,-70.669266
splobra1,-23.5506507,-46.6333824
srbaidn2,-7.2575,112.7521
sttlwax1,47.6038321,-122.330062
sydyaus1,-33.8698439,151.2082848
tkyojpn1,35.6821936,139.762221
tmpeazx1,33.4255117,-111.940016
wrswpol1,52.2298,21.0122
