city,users,latitude,longitude
Dublin,24790,53.349379,-6.260559
Budapest,4637,47.481390,19.146094
Albuquerque,47597,35.084103,-106.650985
Nashville,34057,36.162277,-86.774298
Louisville,42917,38.254238,-85.759407
Kralendijk,257,12.147287,-68.274021
San Jose,32280,37.370400,-121.969000
Ljubljana,874,46.050027,14.506929
Tarawa,3007,1.484554,172.968965
Saint Peter Port,444,49.456814,-2.538998
Quito,15389,-0.220164,-78.512327
Bandar Seri Begawan,14,4.889545,114.941757
Port of Spain,1257,10.657268,-61.518017
Palikir,1107,6.920744,158.162714
Nassau,13969,25.078227,-77.338344
Ashburn,70910,39.015700,-77.464900
Longyearben,19,78.223156,15.646366
Chicago,80023,41.875562,-87.624421
Regina,43320,50.447973,-104.615876
Oslo,11247,59.913330,10.738970
Sao Paulo,344126,-23.550651,-46.633382
Saipan,720,15.190983,145.746743
Tegucigalpa,15594,14.105814,-87.204705
Andorra la Vella,17,42.497918,1.503226
Baku,79,40.375588,49.832801
Mexico City,279959,19.320772,-99.151468
Calgary,100990,50.998800,-113.907000
Portland,74775,45.520247,-122.674194
Vancouver,51141,49.260872,-123.113952
Salt Lake City,18503,40.759620,-111.886797
Melbourne,100292,-37.814245,144.963173
Kyiv,55773,50.450034,30.524136
Philadelphia,62473,39.952724,-75.163526
Asuncion,12426,-25.280046,-57.634381
Winnipeg,36133,49.895537,-97.138458
Jackson,32219,32.299869,-90.183041
Cheyenne,19939,41.139981,-104.820246
Lusaka,22150,-15.416339,28.281841
Ouagadougou,10904,12.368187,-1.527094
Manila,105005,14.590449,120.980362
Charleston,63131,32.788436,-79.939931
Valletta,172,35.898998,14.513661
Manama,73,26.223504,50.582244
Madrid,62564,40.416782,-3.703507
Nairobi,20199,-1.329120,36.886400
San Salvador,11888,13.697629,-89.191156
Des Moines,6465,36.697500,-103.792000
Port-au-Prince,17159,18.547327,-72.339593
Caracas,34416,10.506093,-66.914601
Toronto,127020,43.653482,-79.383935
Lima,42907,-12.045981,-77.030591
Thimphu,590,27.471355,89.633673
Damascus,8293,39.269473,-77.196889
Detroit,61460,42.331551,-83.046640
Paris,113649,48.858890,2.320041
Brasilia,173306,-10.333333,-53.200000
Providence,923,41.823989,-71.412834
Dallas,224962,32.719500,-96.761900
Seoul,544,37.566679,126.978291
Aden,3869,12.789585,45.028504
Brisbane,89357,-27.365991,152.948963
Suva,2461,-18.129200,178.468000
Bucharest,2768,44.436141,26.102684
Fargo,2499,46.877229,-96.789821
Sioux Falls,6647,43.547601,-96.729363
Bogota,102781,4.653382,-74.083633
Columbus,32832,40.062600,-82.771000
Jerusalem,1118,31.778847,35.225786
Brussels,11747,50.846737,4.352493
Christchurch,8941,-43.530955,172.636434
Phoenix,101898,33.685100,-112.097000
San Jose,131161,37.370400,-121.969000
Sofia,9917,42.697703,23.321736
Auckland,78492,-36.852095,174.763180
Prague,7296,50.085011,14.426517
Podgorica,72,42.441524,19.262108
Boise,50078,43.616616,-116.200886
Fredericton,19530,45.948828,-66.629183
Colombus,16804,40.062600,-82.771000
Burlington,12992,44.476160,-73.212906
Montreal,23793,45.503182,-73.569806
Ulaanbaatar,6429,47.918468,106.917702
Baghdad,5274,33.306170,44.387221
Anchorage,43467,61.185900,-149.877000
Malé,650,46.351607,10.912876
Zagreb,9788,45.813097,15.977279
Majuro,868,7.089700,171.380300
Nuku'alofa,1725,-21.134340,-175.201808
Kansas City,62442,39.100105,-94.578142
Avarua District,2650,-21.207474,-159.770815
Panama City,13462,30.158652,-85.660294
Philipsburg,2256,18.025071,-63.048307
Sao Tome,121,0.338924,6.731303
Halifax,11869,44.648618,-63.585949
New Orleans,62794,29.956142,-90.073393
Riga,2136,56.949398,24.105185
Khartoum,5422,15.563597,32.534912
Colombo,4781,6.938861,79.854201
Santiago,116625,-33.437700,-70.651067
Buenos Aires,398002,-34.563600,-58.509600
Muscat,965,23.612363,58.593813
Surabaya,74613,-7.246284,112.737767
Belgrade,180,44.815332,20.445659
Montevideo,7267,-34.905892,-56.191310
Yerevan,194,40.177711,44.512623
Castries,89,43.677910,3.986890
Alofi,107,-19.053416,-169.919199
Luxembourg,224,49.815868,6.129675
Santo Domingo,20982,18.471386,-69.891844
Little Rock,20318,34.746507,-92.289627
El Paso,6694,31.760100,-106.487048
Roseau,81,48.771037,-95.769788
Washington D.C.,165,38.895037,-77.036543
Dushanbe,688,38.576271,68.786357
Mbabane,1674,-26.325745,31.144663
Bratislava,2921,48.155918,17.131354
Yangon,13317,16.796713,96.160992
Las Vegas,28091,36.167426,-115.148413
Saint Denis,487,48.938373,2.362751
Charlotte,80807,35.227209,-80.843083
Athens,50026,33.959768,-83.376398
Antananarivo,11921,-18.910012,47.525581
Hagatna,4631,13.473861,144.752056
Billings,41846,45.787496,-108.496070
Zurich,2934,47.374449,8.541042
Fortaleza,122328,-3.735320,-38.461700
Rome,2,41.893320,12.482932
Vienna,10490,48.208354,16.372504
Skopje,216,41.996182,21.431921
Bridgeport,2612,41.179269,-73.188786
George Town,188,5.414162,100.328735
Jakarta,33667,-6.175405,106.827168
London,127640,51.507446,-0.127765
Tbilisi,594,41.693459,44.801449
Warsaw,22100,52.233374,21.071149
Dhaka,2637,23.764386,90.389014
Lisbon,14771,38.707751,-9.136592
Dakar,1673,14.693425,-17.447938
Apia,1397,-13.834523,-171.763095
Oklahoma City,38029,35.472989,-97.517054
Saint John's,18258,47.564679,-52.706696
Georgetown,5549,6.803256,-58.145540
Niamey,13606,13.524834,2.109823
Omaha,4516,41.258746,-95.938376
Minnesota,127,44.949749,-93.093103
Tokyo,10265,35.676860,139.763895
Fort-de-France,6371,14.602796,-61.067672
Chisinau,61,47.024512,28.832292
Bamako,9264,12.649319,-8.000337
Perth,50495,-31.955897,115.860578
Marigot,1188,18.066854,-63.084887
Manchester,5949,53.479489,-2.245115
Kinshasa,16886,-4.319698,15.342420
Minneapolis,27455,44.977300,-93.265469
Seattle,98636,47.603832,-122.330062
Adamstown,35,-25.066667,-130.100205
Basse-Terre,1792,16.000078,-61.733337
Sarajevo,249,43.857071,18.412615
Atlanta,55303,33.733500,-84.424600
Mariehamn,12,60.102423,19.941260
Bissau,822,11.861324,-15.583055
Funafuti,717,-8.519963,179.198255
Dubai,60,25.074282,55.188539
Harare,69958,-17.856703,31.060158
New York,23553,40.712728,-74.006015
Yaren,796,-0.547700,166.920900
Lagos,62943,6.455057,3.394179
Kuala Lumpur,13529,3.151696,101.694237
Tripoli,1782,32.896672,13.177792
Tirana,250,41.328148,19.818444
Cayenne,3487,4.937154,-52.325874
Gustavia,1009,17.895704,-62.850837
Maputo,16322,-25.966213,32.567450
Honiara,1872,-9.431077,159.955255
Gaborone,16010,-24.658136,25.908847
Indianapolis,37112,39.768333,-86.158350
Los Angeles,76171,33.924300,-118.318000
Brades,1,16.789875,-62.209943
Sydney,127812,-33.869844,151.208285
Topeka,2345,39.049011,-95.677556
Managua,3243,12.154712,-86.273725
Berlin,99794,52.517389,13.395131
Guatemala City,19712,14.641614,-90.513284
Milwaukee,52612,43.038648,-87.909075
Almaty,3268,43.236392,76.945728
Stanley,1179,-51.693062,-57.856525
Newark,5502,40.735657,-74.172367
Milan,102821,45.464194,9.189635
Honolulu,7118,21.304547,-157.855676
Juba,7526,4.845925,31.595917
Kingston,35875,17.971215,-76.792813
